comment,score
ใช้สิทธิ์ประกันสังคมค่ะ รอไม่นานแถมคุณหมอและพยาบาลบริการดีมากค่ะ พูดจาดีให้รายละเอียดครบ ยังไม่เคยใช้บริการทุกแผนกนะคะแต่ แผนก สูตินารีเวช ดีมากค่ะ อยากย้ายประกันสังคมกลับมาที่นี่มากๆเลยค่ะ เดินทางสะดวก อยู่ใกล้ห้าง ออกมาเดินเล่นระหว่างรอผลตรวจได้แบบชิลๆเลย ถึงตอนนี้ประกันสังคมไม่ได้อยู่ที่นี่แล้วดิฉันก็มาใช้บริการเหมือนเดิมค่ะ,5
"ขอชื่นชมคุณหมอและคุณพยาบาลโรงบาลตำรวจมากๆเลยค่ะที่ช่วยเหลือสามีจากการผ่าตัดใหญ่ครั้งนี้เราต้องขอยอมรับในฝีมือของคุณหมอจริงๆผลออกมาดีสามีเราปลอดภัยดีเพราะคุณหมอและคุณพยาบาลใจมากถึงไม่มีผลกระทบอะไรต่อสามีเราทำให้เรารู้ทันทีเลยว่าเราคิดถูกแล้วที่เลือกและตัดสินใจให้สามีผ่าตัดที่โรงบาลตำรวจตอนนี้สามีนอนรักษาตัวห้องพิเศษคุณพยาบาลน่ารักทุกคนเดินเข้ามาดูสามีเราตลอดๆพูดจาดีทุกคน

แต่ก็ขอฝากถึงแม่บ้านทำความสะอาดในห้องผู้ป่วยควรใส่ใจห้องพักของผู้ป่วยหน่อยคือตรงนี้เราก็ไม่โอเคเท่าไรคือทำแบบรีบๆยังไงก็ไม่รู้จนเรามองดูแล้วว่ายังไม่สะอาดเราเลยเดินไปเอาไม้กวาดมาเก็บกวาดเองรู้ป่ะว่าขี้ผงและเศษขยะเล็กๆที่อยู่ใต้เตียงคนเฝ้าใต้เตียงผู้ป่วยและมุมห้องทุกๆมุมเรากวาดได้เยอะเลยล่ะค่ะ  (จากแม่บ้านตำรวจ)",5
ลุงผมเป็นคนไข้ ขณะนี้เวลา 13.20น. แล้ว ข้าวเที่ยงยังไม่มา โทรตาม สามรอบแล้ว ห่วยแตกมากๆ,1
จากผู้รับการรักษาจริงอยากบอกว่า รพ.ตำรวจระบบจัดการแย่ โดยเฉพาะจุดทำประวัติใหม่ รอ2ชม. 9.30-11.30 ไม่เรียงคิวคนมากก่อนมาหลัง พอถามบอกระบบล้ม แต่คนอื่นถ่ายบัตรใหม่ส่งไปตรวจ นี่ถามบอกประกันสังคม คืออะไร? ไม่อยากรับปกส.หรอ ได้ตรวจ11.30พยาบาลบอกเร็วๆเลย หมอรับถึงแค่ เที่ยง พอจะตรวจอีกแผนกบอกหมอไม่มีช่วงบ่าย พอจะไปทำบัตรนัดจะมาวันอื่น บอกวันนี้มีหมอออกตรวจ ไล่ไปเอาแฟ้มที่แผนกเดิม คือต้องเดินไป-กลับระหว่าง 2 ตึกเอง 2 รอบ คนป่วยนะคะ แต่คุณหมอที่นี่ยอมรับเลยค่ะ ดีมาก ทั้ง 2 แผนกที่ไปตรวจ ดียิ่งกว่ารพ.เอกชนบางแห่งซะอีก ใส่ใจเรา ตรวจระเอียดและให้คำแนะนำดีมาก คือที่ทน เพราะหมอน่ารักจริงๆ นอกนั้นแย่มาก...จากใจคนใช้ประกันสังคม รพ.ตำรวจ,2
ลูกชายนอนห้องพิเศษไม่มีพยาบาลเข้ามาดูแลเลย,2
ตอนที่ไม่สบายหนักได้ไปรักษากับโรงพยาบาลหนึ่งมาแต่ก็ไม่หายเพราะเขาไม่ตรวจอะไรเลย จนมาโรงพยาบาลตำรวจเข้าฉุกเฉิน ที่นี่เอาใจใส่คนไข้มากบริการดีตั้งแต่กรอกประวัติยันรอตรวจ และคุณหมอก็ตรวจละเอียดมากจนรู้สาเหตุที่แท้จริงว่าเป็นอะไรแล้วคุณหมอก็แนะนำวิธีการรักษาอธิบายรายละเอียดของโรคที่เราเป็นให้ฟังอย่างละเอียด และก็ให้ไปชำระเงินแล้วก็รับยา พอชำระเงินตกใจมากว่าทำไมถูกมาก ทั้งตรวจ เจาะเลือด รับยา ค่ารักษา180เอง ซึ่งผิดกับรงพยาบาลแรกเข้าฉุกเฉิน เจาะเลือดเหมือนกันแต่ทำไมวินิจฉัยโรคไม่เจอ นี่คือสิ่งที่ประทับใจโรงพยาบาลตำรวจมากเพราะใส่ใจคนไข้ทุกระดับ และมีการบริการที่ดี แถมค่ารักษาถูกอีกด้วย อย่างนี้น่าชื่นชมเพราะเห็นชีวิตคนไข้สำคัญกว่าเงิน,5
ไม่ได้ฝากครรภ์ที่โรงพยาบาลตำรวจ แต่มีสิทธิ์ประกันสังคม ต้องคลอดก่อนกำหนดตอน 27 วีค ด้วยเหตุฉุกเฉิน ปลดภัยทั้งแม่และลูก คุณหมอและพยายาลทุกคน ทุกแผนกดูแลดีมากขอขอบคุณมากๆค่ะ,5
ไปฝากครรภ์ ที่โรงบาลตำรวจ รอคิวแปบเดียว แต่พยาบาลพูดไม่ค่อยเพราะ,3
เป็นโรงพยาบาลที่ดี ยอมรับในเรื่องหมอเก่ง แต่ก็ยังคงมีความเป็นโรงพยาบาลรัฐ การพูดจาของบุคลากร หรือการบริการยังไม่ดีนักถ้าเทียบกับโรงพยาบาลเอกชน,4
คลอดที่ร.พตำรวจ ดูแลดี พูดจาดี,4
จัดการคิวแย่ น่าจะมีการจัดระบบที่ดีและรวดเร็ว เพื่อรองรับผู้เข้ารับบริการได้อย่างเหมาะสม ควรลดขั้นตอน ขยายระยะเวลาในการตรวจรักษาโรคเฉพาะทางให้มากกว่านี้ เช่น ทันตกรรม รอครึ่งวัน ไม่ได้ทำ ทั้งๆที่ต้องไปรอคิวแต่เช้ามืด แต่แพทย์ออกเวร 12.00 น. ที่จอดรถก็ไม่เพียงพอ สถานที่คับแคบ ไม่ดีต่อสุขภาพอนามัย ควรปรับปรุงเรื่องการถ่ายเทอากาศของตึกเก่า,2
รอพบเพทย์นานมากๆ น่าจะจีดระบบนัดแบ่งเป็นช่วง ผู้ป่วยจะได้ไม่ต้องมารอแต่เช้า,3
มีโครงการตำรวจรักษาสุขภาพมาที่เขตลาดกระบังเราลงทะเบียนรักษาตรวจล่วงหน้าเป็นเดือนแต่วันมารักษากลับบอกว่าบัตรคิวเต็มแล้วทำไมไม่แจ้งว่าคุณพร้อมที่จะรักษาจำนวนเท่านี้เจ้าหน้าที่ที่เป็นตัวแทนจะได้ไม่ต้องหั้ยคนลงทะเบียนหั้ยเสียความรู้สึกวะ,1
หมอและพยาบาลดูแลดีมากๆค่ะ,4
หนูเยอะที่บรืเวณบนฝ้า ก่อนกลางตอนดึกมีเสียงรบกวนตลอดเวลา,2
วันนี้หมอนัดลูกมารับวัคซีนค่ะ มาตึกเด็กชั้นล่าง บอกให้ขึ้นมาชั้น3 มานั่งรอตั้งแต่ 6 โมงเช้า คิวแรก 8 โมงบอกหยิบสมุดให้ผิดสลับกับชื่อคนข้างล่าง เสียเวลาอีก ให้ลงไปเปลี่ยนสมุด ขึ้นมาต่อคิวใหม่ พอมาดูบอกไม่ได้คีย์ข้อมูลนัดไว้ต้องรอแฟ้มเอกสารอีก คนอื่นมาทีหลังได้ตรวจไปหมดแระ สุดท้ายแฟ้มมา 8:57 น. จากคิวที่ 1. ตอนนี้ได้คิวที่ สุดท้ายที่มาเร็วๆ ตั้งแต่ หกโมงเช้าเพื่อ ได้คิวสุดท้ายหรือค่ะ,1
บริการดี มีแพทย์และพยาบาลมืออาชีพ แต่อยากให้มีบริการที่จอดรถ (เก็บค่าใช้จ่ายก็ยินดีค่ะ),4
คลอดลูกหมอดีมาก,4
