comment,score
แผนกฉุกเฉิน แผนกนรีเวชดีเยี่ยมากๆ และแผนกTBก็เยี่ยมมากๆ พนักงานธุรการไม่ค่อยโอเคเท่าไหร่แต่พยาบาลและคุณหมอดีมากๆ และดีทุกคนเลยค่ะ คุณหมอเก่งๆหลายท่านด้วยค่ะ ช่วงเช้าคนจะเยอะมากๆ อาจมีล่าช้าบ้างค่ะ แต่บางครั้งเราไป ไม่เกินเที่ยงก็ได้กลับบ้านแล้วนะคะ ถือว่าเร็วไวมากๆ ใช้บริการหลายครั้งค่อนข้างจะประทับใจค่ะ ถึงแม้จะใช้สิทธิ์ประกัน แต่ก็ได้รับการใส่ใจที่ดี ร้านอาหารร้านขนมมีให้ซื้อในราคาทั่วไปนะคะ ห้องน้ำชั้น2สะอาดดีค่ะ,4
"คนรอเยอะมากๆค่ะ (ไปตอน22.00 แผนกฉุกเฉิน) หมอคนเดียว 
พยาบาลพูดจาดีค่ะ 
ให้บริการรักษาดี ถึงแม้จะมีหมอเพียงคนเดียว 
ราคาไม่แพง

ต่อมาไปตามนัดหมอตอนเช้า 8.00 หมอมา10.30น. คนรอกว่า 30 คนค่ะ เรียกเข้าช้ามา ผ่านไป1ชั่วโมงเพิ่งผ่านไป6คิวค่ะ หากว่าสามารถมีแนวทางในการรักษาให้รวดเร็วขึ้นจะดีมากเลยค่ะ ขอบคุณค่ะ",4
ให้บริการดีมากเลยคับ เป็นโรงพยาบาลที่ตอบปัญหาได้เร็วมากๆเลย เป็นมิตรด้วยคับ ค่อยให้คำปรึกษาดีและรู้จักแนะนำคำปรึกษาได้ดีเช่นกันครับ ทุกเรื่องตอบได้ดีมากครับ ไม่ว่าจะเป็นโรคอื่นที่ตัวผมไม่ได้เป็นหมอก้อตอบดีมากคับแล้วคำตอบที่ตอบก้อตอบแบบมีเหตุมีผลด้วยคับ ถือว่าเป็นอีกโรงพยาบาลที่ควรจะแนะนำให้ปรึกษาเป็นอย่างยิ่ง,5
ให้บริการดีมากเลยคับ เป็นโรงพยาบาลที่ตอบปัญหาได้เร็วมากๆเลย เป็นมิตรด้วยคับ ค่อยให้คำปรึกษาดีและรู้จักแนะนำคำปรึกษาได้ดีเช่นกันครับ ทุกเรื่องตอบได้ดีมากครับ ไม่ว่าจะเป็นโรคอื่นที่ตัวผมไม่ได้เป็นหมอก้อตอบดีมากคับแล้วคำตอบที่ตอบก้อตอบแบบมีเหตุมีผลด้วยคับ ถือว่าเป็นอีกโรงพยาบาลที่ควรจะแนะนำให้ปรึกษาเป็นอย่างยิ่ง,4
เป็นโรงบาลที่บริการดี หมอเป็นกันเองมากครับ ทำงานรวดเร็ว และ ดีเยี่ยม น่าไปใช้บริการบ่อยๆอย่างยิ่งครับ เนื่องด้วยจำนวนหมอที่ค่อนข้างเยอะจึงทำให้ทำทุกอย่างรวดเร็ว ใช้เวลาแปปเดียว ก็ได้ตรวจโรค ได้กลับบ้านแล้วครับ ถ้าหากว่ากรณี นอนโรงพยาบาล หมอก็ดูแล เอาใจใส่อย่างดีครับ กดเรียกได้เลย คุณหมอพร้อมให้บริการเสมอครับ,5
ดีมากๆครับ             หมอรักษาด้วยการให้บำรุงเพราะเป็นโรคภูมิแพ้อากาศ               บอกวิธีการและการดูแลอย่างละเอียด         ราคาก็ไม่ค่อยแพงครับ จากที่ลองอ่านรีวิวรพ.                     ใกล้บ้านมีราคาค่อนข้างสูง แต่มาที่นี่โอเคมากเลยครับให้การบริการดีมากๆเลยครับ                   รพ.สะอาดด้วยครับ,5
ให้บริการดีมากเลยคับ เป็นโรงพยาบาลที่ตอบปัญหาได้เร็วมากๆเลย เป็นมิตรด้วยคับ ค่อยให้คำปรึกษาดีและรู้จักแนะนำคำปรึกษาได้ดีเช่นกันครับ ทุกเรื่องตอบได้ดีมากครับ ไม่ว่าจะเป็นโรคอื่นที่ตัวผมไม่ได้เป็นหมอก้อตอบดีมากคับแล้วคำตอบที่ตอบก้อตอบแบบมีเหตุมีผลด้วยคับ ถือว่าเป็นอีกโรงพยาบาลที่ควรจะแนะนำให้ปรึกษาเป็นอย่างยิ่ง,5
ดีมากๆครับ หมอรักษาด้วยการให้บำรุงเพราะเป็นโรคภูมิแพ้ผิวหนัง บอกวิธีการและการดูแลอย่างละเอียดแขนเป็นขนคุดเลยไปหาก็เลยได้ทราบสาเหตุว่าตัวเองนั้นผิวแห้งทำให้ได้ดูแลตัวเองได้อย่างถูกวิธีหลังจากที่เป็นมาตั้งแต่เด็กแล้วก็ลามขึ้นไปเรื่อยๆ ราคาก็ไม่ค่อยแพงครับ จากที่ลองอ่านรีวิวดูจากสถาบันผิวหนังใกล้บ้านมีราคาค่อนข้างสูง แต่มาที่นี่โอเคมากเลยครับ,4
เป็น. รพ. ที่ดีมากน้ะคะ บริการดีเราถามอะไรทั้งหมอและพยาบาลต่างก็ดูแลแบบ 5 ดาวมาก การแพทย์หรือเทคโนโลยีในการรักษาทันสมัยอยู่นะ เท่าที่ไปมา รพ.นี้ก็โอเค อาการการกินหรือเรื่องความสะอาดจอง รพ ถือว่าดีนะมีการทำงานเป็นระบบ หมอก็ไม่ด่าคนไข้ด้วย พูดเป็นกันเองมาก เข้าถึงคนไข้ได้เป็นอย่างดี ทำให้คนไข้รู้สึกถึงการเอาใจใส่ในการรักษาของ รพ. นี้มาก แต่ก็หยั่งว่า หมอคั่นข้างมีน้อย ทำให้หมอได้รับความกดดันเยอะ แต่หมอก็ควบคุมอารมหรืออากรได้แบบปกติมากค่ะ,5
"พยาบาลดูแลและบริการดีส่วนคุณหมอก็บริการดีมากเลยครับรักษาตรงจุดจ่ายยาตรงกับโรคที่เป็นตอบคำถามใช้ภาษาทั่วไปทำให้คนไข้เข้าใจง่ายขึ้น บริการด้านอื่นๆค่อยข้างดีมาก 
เวลามีข้อสงสัยถามพยาบาลมากๆพยาบาลแต่ละท่านเต็มใจตอบไม่ชักสีหน้า คำให้รู้สึกกลัว คำตอบที่ได้ก็จะคอยให้กำลังใจคนไข้ลดความเครียดไปได้มากๆเลยครับ",5
