th_comment,en_comment,score
แผนกฉุกเฉิน แผนกนรีเวชดีเยี่ยมากๆ และแผนกTBก็เยี่ยมมากๆ พนักงานธุรการไม่ค่อยโอเคเท่าไหร่แต่พยาบาลและคุณหมอดีมากๆ และดีทุกคนเลยค่ะ คุณหมอเก่งๆหลายท่านด้วยค่ะ ช่วงเช้าคนจะเยอะมากๆ อาจมีล่าช้าบ้างค่ะ แต่บางครั้งเราไป ไม่เกินเที่ยงก็ได้กลับบ้านแล้วนะคะ ถือว่าเร็วไวมากๆ ใช้บริการหลายครั้งค่อนข้างจะประทับใจค่ะ ถึงแม้จะใช้สิทธิ์ประกัน แต่ก็ได้รับการใส่ใจที่ดี ร้านอาหารร้านขนมมีให้ซื้อในราคาทั่วไปนะคะ ห้องน้ำชั้น2สะอาดดีค่ะ,"Emergency department gynecological good tunes too. TB department, and it's so cool. Staff not very much okay, but the nurses and doctors very well. And all my Your doctor knows you are with me. The morning session will be a lot. There may be some delays here But sometimes we go No later than noon, went home to me. It is very faster A lot of times it's quite impressive. Although the right insurance But attention was great. Restaurants, snacks available to purchase online at me. 2nd floor bathroom clean, good",4
"คนรอเยอะมากๆค่ะ (ไปตอน22.00 แผนกฉุกเฉิน) หมอคนเดียว 
พยาบาลพูดจาดีค่ะ 
ให้บริการรักษาดี ถึงแม้จะมีหมอเพียงคนเดียว 
ราคาไม่แพง

ต่อมาไปตามนัดหมอตอนเช้า 8.00 หมอมา10.30น. คนรอกว่า 30 คนค่ะ เรียกเข้าช้ามา ผ่านไป1ชั่วโมงเพิ่งผ่านไป6คิวค่ะ หากว่าสามารถมีแนวทางในการรักษาให้รวดเร็วขึ้นจะดีมากเลยค่ะ ขอบคุณค่ะ","People waiting for a lot of it (go to the emergency department at 22:00) doctor alone.
Nurses speak good
Fine Treatment offers Although there is only one doctor.
Affordable

Later, according to a doctor's appointment the morning, 8:00 to 10:30 am the doctor. People wait more than 30 people have called it slow. 1 hour, 6 queue just to me. If you have a way of keeping up to speed is very good, thank you.",4
ให้บริการดีมากเลยคับ เป็นโรงพยาบาลที่ตอบปัญหาได้เร็วมากๆเลย เป็นมิตรด้วยคับ ค่อยให้คำปรึกษาดีและรู้จักแนะนำคำปรึกษาได้ดีเช่นกันครับ ทุกเรื่องตอบได้ดีมากครับ ไม่ว่าจะเป็นโรคอื่นที่ตัวผมไม่ได้เป็นหมอก้อตอบดีมากคับแล้วคำตอบที่ตอบก้อตอบแบบมีเหตุมีผลด้วยคับ ถือว่าเป็นอีกโรงพยาบาลที่ควรจะแนะนำให้ปรึกษาเป็นอย่างยิ่ง,"Service is very good tight The problem is the hospital very early yet. With a tight Consultation and guidance counselors as well as well. All subjects responded very well. Whether it's a disease that I am not a doctor but I am already very good answers, reply rationally with it. It is advisable to consult a hospital should be as well.",5
ให้บริการดีมากเลยคับ เป็นโรงพยาบาลที่ตอบปัญหาได้เร็วมากๆเลย เป็นมิตรด้วยคับ ค่อยให้คำปรึกษาดีและรู้จักแนะนำคำปรึกษาได้ดีเช่นกันครับ ทุกเรื่องตอบได้ดีมากครับ ไม่ว่าจะเป็นโรคอื่นที่ตัวผมไม่ได้เป็นหมอก้อตอบดีมากคับแล้วคำตอบที่ตอบก้อตอบแบบมีเหตุมีผลด้วยคับ ถือว่าเป็นอีกโรงพยาบาลที่ควรจะแนะนำให้ปรึกษาเป็นอย่างยิ่ง,"Service is very good tight The problem is the hospital very early yet. With a tight Consultation and guidance counselors as well as well. All subjects responded very well. Whether it's a disease that I am not a doctor but I am already very good answers, reply rationally with it. It is advisable to consult a hospital should be as well.",4
เป็นโรงบาลที่บริการดี หมอเป็นกันเองมากครับ ทำงานรวดเร็ว และ ดีเยี่ยม น่าไปใช้บริการบ่อยๆอย่างยิ่งครับ เนื่องด้วยจำนวนหมอที่ค่อนข้างเยอะจึงทำให้ทำทุกอย่างรวดเร็ว ใช้เวลาแปปเดียว ก็ได้ตรวจโรค ได้กลับบ้านแล้วครับ ถ้าหากว่ากรณี นอนโรงพยาบาล หมอก็ดูแล เอาใจใส่อย่างดีครับ กดเรียกได้เลย คุณหมอพร้อมให้บริการเสมอครับ,"The hospital is good I am very friendly, fast and excellent service, it seems to me particularly. The number of doctors who do everything quite so fast. Japan take the same examination was not home then. If the hospital doctor was caring well. Press called it You always available.",5
ดีมากๆครับ             หมอรักษาด้วยการให้บำรุงเพราะเป็นโรคภูมิแพ้อากาศ               บอกวิธีการและการดูแลอย่างละเอียด         ราคาก็ไม่ค่อยแพงครับ จากที่ลองอ่านรีวิวรพ.                     ใกล้บ้านมีราคาค่อนข้างสูง แต่มาที่นี่โอเคมากเลยครับให้การบริการดีมากๆเลยครับ                   รพ.สะอาดด้วยครับ,Very good doctors to treat with care because of allergies. And tell you how to care for them carefully. The price was not expensive offline Read the review from the hospital. House prices are relatively high But here's the really good service here. Hospital clean it,5
ให้บริการดีมากเลยคับ เป็นโรงพยาบาลที่ตอบปัญหาได้เร็วมากๆเลย เป็นมิตรด้วยคับ ค่อยให้คำปรึกษาดีและรู้จักแนะนำคำปรึกษาได้ดีเช่นกันครับ ทุกเรื่องตอบได้ดีมากครับ ไม่ว่าจะเป็นโรคอื่นที่ตัวผมไม่ได้เป็นหมอก้อตอบดีมากคับแล้วคำตอบที่ตอบก้อตอบแบบมีเหตุมีผลด้วยคับ ถือว่าเป็นอีกโรงพยาบาลที่ควรจะแนะนำให้ปรึกษาเป็นอย่างยิ่ง,"Service is very good tight The problem is the hospital very early yet. With a tight Consultation and guidance counselors as well as well. All subjects responded very well. Whether it's a disease that I am not a doctor but I am already very good answers, reply rationally with it. It is advisable to consult a hospital should be as well.",5
ดีมากๆครับ หมอรักษาด้วยการให้บำรุงเพราะเป็นโรคภูมิแพ้ผิวหนัง บอกวิธีการและการดูแลอย่างละเอียดแขนเป็นขนคุดเลยไปหาก็เลยได้ทราบสาเหตุว่าตัวเองนั้นผิวแห้งทำให้ได้ดูแลตัวเองได้อย่างถูกวิธีหลังจากที่เป็นมาตั้งแต่เด็กแล้วก็ลามขึ้นไปเรื่อยๆ ราคาก็ไม่ค่อยแพงครับ จากที่ลองอ่านรีวิวดูจากสถาบันผิวหนังใกล้บ้านมีราคาค่อนข้างสูง แต่มาที่นี่โอเคมากเลยครับ,"Very good doctor with the treatment because of skin allergies. And tell you how to care arm carefully as ingrown hairs, you just have to know the reasons that cause dry skin itself can take care of themselves properly after a child since then it has spread steadily. The price was not expensive offline Read the review from the Institute of skin near the relatively high price. But here's a lot.",4
เป็น. รพ. ที่ดีมากน้ะคะ บริการดีเราถามอะไรทั้งหมอและพยาบาลต่างก็ดูแลแบบ 5 ดาวมาก การแพทย์หรือเทคโนโลยีในการรักษาทันสมัยอยู่นะ เท่าที่ไปมา รพ.นี้ก็โอเค อาการการกินหรือเรื่องความสะอาดจอง รพ ถือว่าดีนะมีการทำงานเป็นระบบ หมอก็ไม่ด่าคนไข้ด้วย พูดเป็นกันเองมาก เข้าถึงคนไข้ได้เป็นอย่างดี ทำให้คนไข้รู้สึกถึงการเอาใจใส่ในการรักษาของ รพ. นี้มาก แต่ก็หยั่งว่า หมอคั่นข้างมีน้อย ทำให้หมอได้รับความกดดันเยอะ แต่หมอก็ควบคุมอารมหรืออากรได้แบบปกติมากค่ะ,"A. Hospital, very good to me. Good service, we ask the doctors and nurses are caring for the 5-star large medical technologies to treat advanced so far as to go to the hospital. This is OK, symptoms, eat or clean your hospital treated well there. systematically I do not think patients with Speaking very friendly As well as patient access Making patients feel empathy for the treatment of hospital a lot, but that probe. Doctors are separated by less The doctor puts a lot of pressure. However, doctors have a duty to control emotions or very normal.",5
"พยาบาลดูแลและบริการดีส่วนคุณหมอก็บริการดีมากเลยครับรักษาตรงจุดจ่ายยาตรงกับโรคที่เป็นตอบคำถามใช้ภาษาทั่วไปทำให้คนไข้เข้าใจง่ายขึ้น บริการด้านอื่นๆค่อยข้างดีมาก 
เวลามีข้อสงสัยถามพยาบาลมากๆพยาบาลแต่ละท่านเต็มใจตอบไม่ชักสีหน้า คำให้รู้สึกกลัว คำตอบที่ได้ก็จะคอยให้กำลังใจคนไข้ลดความเครียดไปได้มากๆเลยครับ","Nursing care services and good medical services, it fits like a spot treatment, dispense with the question of a common language making it easier for patients to understand. Other services pretty good.
When in doubt, ask the nurses, nurse very willing to answer each of you look not fly. Words to fear The answer is to encourage patients to reduce stress very good.",5
