th_comment,en_comment,score
วันนี้ไปเยี่ยมเพื่อนมาคะพึ่งคลอดลูก เป็นห้องรวมแต่พยาบาลดูแลดีมาก หมอทำคลอดดีมากต้องขอชื่นชมค่ะ แถมสถานที่สะอาดมากๆมีที่ให้ญาติๆได้เข้าเยี่ยมได้อย่างสะดวกสะบาย ถึงแม้จะเป็นห้องรวมก็ตาม แต่รู้สึกโอเคกับการบริการในครั้งนี้มาก หวังว่าเพื่อนของฉันจะได้รับการบริการที่ดีแบบนี้จนกว่าจะได้กลับมาผักผ่อนที่บ้านนะคะ,"Today I visited my friend's baby. But as well as a very good nursing care. Doctors delivered much better to appreciate it. It has a very clean place to visit relatives had been so convenient. Although the room is not included. I feel okay, the service was great. I hope my friends will get good service like this until you get to rest at home.",5
"ผมเคยปัสสาวะบ่อยมากๆ วันนึง 20รอบ 
 แล้วได้เข้ารับการรักษาที่โรงพยาบาลแห่งนี้  ผมประทับใจในการบริการของคุณหมอและเจ้าหน้าที่มากๆ รับฟังคนไข้ดีมาก  ดูแลดี ยิ้มแย้ม   ขั้นตอนต่างๆดูเป็นมืออาชีพมากๆมีระดับ รวดเร็วมากๆครับ  ประทับใจมากครับ  รู้สึกไม่ผิดหวังที่เข้ารับการรักษาที่โรงพยาบาลแห่งนี้

และชอบการdesign ตึก/ภายในตึกหรือ ห้องต่างๆในโรงพยาบาลนี้มากครับ ดูสวยงามสะอาดตา  ทันสมัยมากๆ","I urinate very often around day 20.
 He was admitted to this hospital. I was impressed by the services of the doctors and other staff. Patients get very good care of smiling step in a very professional level. Very fast I was very impressed Do not feel disappointed that he treated at this hospital.

And like the design Building / building or Rooms in this very hospital. Beautiful, clean, very modern.",4
ดีมากเลยค่ะะ เคยไม่สบายเป็นไข้คุณหมอพูดจาน่ารัก พยาบาลดีมากเลยค่ะ เป็นโรงพยาบาลที่ดีในระแวกใกล้บ้านที่หนึ่งเลยค่ะ ค่ารักษาเหมาะสมกับการเข้ารับการรักษา และผู้จ่ายยามีการอธิบายการรับประทานยาชัดเจน มีความติดตามคนไข้อยู่ตลอด คุณหมอคอยตามอาการคนไข้อย่างใกล้ชิด และมีอัธยาศัยดี ยิ้มแย้ม มีการให้ความรู้ในด้านต่างๆเพิ่มขึ้นมาอีก โรงพยาบาลมีความสะอาด มีสุขอนามัยที่ดี มีบริการที่ดี,"Good Ceaa had discomfort, fever, doctor's parlance. Nursing is very good A hospital in the Wagga nearest one to me. Keeping up with proper treatment. And dispense medications are explained clearly. Patients are followed at all Your doctor will closely follow the patient's symptoms. And courteous, smiling with the knowledge on various aspects add up. Hospital cleanliness A good hygiene A good service",5
แม่ผมเข้ารับการรักษาอาการเส้นเลือดสมองตีบและเป็นผู้ป่วยติดเตียงที่โรงพยาบาลเป็นเวลา2เดือน และใน3สัปดาห์หลังพักฟื้นในหอพักผู้ป่วยชั้น10โซนC ในขณะที่ผมเฝ้าไข้ เวลาแม่มีไข้หมอเข้ามาเยี่ยมไข้ก็จะถามพยาบาลว่าผู้ป่วยมีแผลตรงไหนไหม พยาบาลก็ตอบว่าไม่มี จนวันที่22ต.ค.2561หมอเจ้าของไข้ให้ผู้ป่วยกลับบ้านได้ เราจึงกลับในบ่ายวันนั้นถึงศูนย์ดูแลผู้ป่วยที่ต่างจังหวัด ผู้ดูแลแม่พบว่าที่ก้นของแม่มีแผลกดทับ ผมตกใจมาก และญาติๆก็ตกใจ ว่าเกิดอะไรขึ้น ในขณะที่อยู่ร.พ.ไม่มีใครเอ่ยถึงว่าแม่มีแผลกดทับ และไม่มีกล่าวถึงการรักษาแผลกดทับเลย มีแต่ประมาณ1สัปดาห์ที่ผ่านมาก่อนออกร.พ.แม่มีไข้และหมอให้ยาฆ่าเชื้อ ในวันที่รู้ว่าแม่มีแผลผมโทรไปถาม(โวย)พยาบาลที่หอผู้ป่วย พยาบาลบอกไม่รู้จริงๆเพราะผู้ช่วยพยาบาลไม่ได้รายงานว่ามีแผลกดทับ แต่จากแผลที่ผมเห็นมีรอยเอายาเหมือนครีมขาวทาไว้ คือแผลกว้างกว่าหัวนิ้วโป้งมือ ตอนที่ผู้ช่วยพยาบาลเช็ดตัวจะไม่เห็นหรือครับ ผิวหนังก่อนจะเป็นแผลกดทับจะไม่มีความผิดปกติให้เห็นเหรอครับ คุณเรียนมาด้านนี้ก็เพื่อดูแลผู้ป่วยคุณไม่เข้าใจหรือครับ หรือว่าที่นี่รับคนไม่รู้เรื่องการดูแลผู้ป่วยเข้ามาทำงาน ร.พ.นี้มาตรฐานระดับสากลนะครับ แล้วเวลาเช็ดตัวผู้ป่วยผู้ช่วยพยาบาลก็ปิดม่านครับไม่ใช่เปิดหราให้ญาติดูด้วย ผมเฝ้าไข้นะไม่ใช่คนดูแล คุณมีปากคุณไม่รายงาน ผลเสียมันเกิดกับใครครับ สุขภาพของผู้ป่วยใช่ไหมครับ ผมขอฝากไว้หน่อย ผมพาแม่มารักษาที่นี่ยอมเสียเงินจ่ายแพงก็มีความคาดหวังนะครับ คาดหวังว่าแม่จะอาการดีขึ้น และคาดหวังว่าจะได้รับบริการการพยาบาลอย่างดี แต่ที่ประสบนี่คือการบริการแย่ๆของพวกคุณมันส่งผลให้อาการของแม่ผมแย่ลงไปด้วย มีสมองก็หัดคิดตามบ้างนะครับ จากใจญาติผู้ป่วยที่มีประสบการณ์เฝ้าไข้ร.พ.ศิริราชปิยะมหาราชการุณ 2เดือน,"I've been treating cerebral thrombosis and patients at the hospital bed next 2 months. And in three weeks recuperating in the top 10 hostels patients Zone C. While I was gone The mother has a fever, the doctor asked the nurse to patient is that the patient has a wound right now. Nurses also say no Until 22 October 2561 a doctor fever patients to return home. We returned that afternoon to ambulatory care centers in the provinces. The mother found her at the bottom of a pressure ulcer, I was horrified and shocked relatives. What's happening While survive. May. There is no mention that the mother has a bedsore. And no mention of it sore. But about 1 week before the departure. May. I had a fever, and the doctor disinfectant. On the day that I called and asked the mother has lesions (outcry) nursing ward. I do not really care because the nurse did not report that a bedsore. But the wounds that I took the medicine has a creamy white paint on. The wound was wider than his thumb hands. The nurse wiped himself will not see it. Skin before the wound is not unusual to wait. You have to study this aspect of patient care or you do not understand it. That people here do not care about coming to work. Assoc., May. This international standard here. Then wipe the patient's nurse was not the curtain opens boldly with relatives. I do not care nurse You have not reported your mouth Who's going to lose it. Patient health yes. I deposited my I took my mother to treat this wasted money paid would have expected it. Expect to feel better. And expect to receive medical services as well. But who is this service to you, it's bad, resulting in symptoms worse with my mother. The brain has learned to think as I do. Heart patients' relatives who have experienced the nurse. May. Siriraj Chulalongkorn Karun 2 months.",1
ดีมากเลยค่ะะ เคยไม่สบายเป็นไข้คุณหมอพูดจาน่ารัก พยาบาลดีมากเลยค่ะ เป็นโรงพยาบาลที่ดีในระแวกใกล้บ้านที่หนึ่งเลยค่ะ ค่ารักษาเหมาะสมกับการเข้ารับการรักษา และผู้จ่ายยามีการอธิบายการรับประทานยาชัดเจน มีความติดตามคนไข้อยู่ตลอด คุณหมอคอยตามอาการคนไข้อย่างใกล้ชิด และมีอัธยาศัยดี ยิ้มแย้ม มีการให้ความรู้ในด้านต่างๆเพิ่มขึ้นมาอีก โรงพยาบาลมีความสะอาด มีสุขอนามัยที่ดี มีบริการที่ดี,"Good Ceaa had discomfort, fever, doctor's parlance. Nursing is very good A hospital in the Wagga nearest one to me. Keeping up with proper treatment. And dispense medications are explained clearly. Patients are followed at all Your doctor will closely follow the patient's symptoms. And courteous, smiling with the knowledge on various aspects add up. Hospital cleanliness A good hygiene A good service",5
เป็นโรงบาลมาตราฐานเอกชน สะอาด ดูปลอดโปร่งกว่าศิริราชนะคะ อาจจะเพราะศิริราชเป็นโรงพยาบาลรัฐจึงแออัดและคนเยอะ แต่ศิริราชปิยมหาการุณย์จะเป็นเอกชน ค่าใช้จ่ายจะค่อนข้างสูง สะดวกและรวดเร็ว หมอพยาบาลน่าจะเป็นหมอจากศิริราชนะคะ ดูแลดีค่ะ ทุกๆอย่างในโรงพยาบาลดูสะอาด มีการดูแลทำความสะอาดอย่างสม่ำเสมอค่ะ พูดเพราะมากค่ะ,"A standard private hospitals clean and clear view than Siriraj it. Siriraj Hospital is probably because the state is congested and crowded. But compassion is a private Siriraj commemoration. The cost is quite high Quick and easy Doctors, nurses, doctors will take care of it from Siriraj Hospital in good everything looks clean. A clean regularly. It's very",5
บริการดี รวดเร็ว และทันสมัย สะดวกและรวดเร็ว  ดูแลดีครับ ทุกๆอย่างในโรงพยาบาลดูสะอาด มีการดูแลทำความสะอาดอย่างสม่ำเสมอ คุณหมอพูดคุยอธิบายขั้นตอนการรักษาเข้าใจง่าย  บริการดี รวดเร็ว รักษาดีมาก หมอ พยาบาล เจ้าหน้าที่มีคุณภาพ สามารถให้การรักษาได้ตรงกับโรค วินิจฉัยโรคได้เร็วทำให้การรักษาไม่ล่าช้าโทรแจ้งนัดหมายก่อนถึงวันเข้าพบแพทย์,"Good service and modern convenience and good care of everything in the hospitals clean. Care is cleaned regularly. You talk explaining treatment procedures easy to understand, easy to maintain, good service, good quality staff, doctors, nurses. This can provide treatment for the disease. Diagnosis makes treatment faster, do not delay, call today to schedule an appointment before visiting the doctor.",5
เป็นโรงบาลมาตราฐานเอกชน สะอาด ดูปลอดโปร่งกว่าศิริราชนะคะ อาจจะเพราะศิริราชเป็นโรงพยาบาลรัฐจึงแออัดและคนเยอะ แต่ศิริราชปิยมหาการุณย์จะเป็นเอกชน ค่าใช้จ่ายจะค่อนข้างสูง สะดวกและรวดเร็ว หมอพยาบาลน่าจะเป็นหมอจากศิริราชนะคะ ดูแลดีค่ะ ทุกๆอย่างในโรงพยาบาลดูสะอาด มีการดูแลทำความสะอาดอย่างสม่ำเสมอค่ะ น่าใช้บริการในครั้งต่อๆไป,"A standard private hospitals clean and clear view than Siriraj it. Siriraj Hospital is probably because the state is congested and crowded. But compassion is a private Siriraj commemoration. The cost is quite high Quick and easy Doctors, nurses, doctors will take care of it from Siriraj Hospital in good everything looks clean. A clean regularly. It used the next time.",5
บริการดี รวดเร็ว สถานที่สะอาด มีที่จอดรถสะดวกสบาย ร้านอาหารก็สะอาด คุณหมอพูดคุยอธิบายขั้นตอนการรักษาเข้าใจง่าย  ส่วนแผนกของเด็กๆ ก็มีกระดาษระบายสีให้เด็กๆระบาย มีของเล่นให้บริการเด็กๆ ระหว่างรอเข้าพบคุณหมอ จึงคลายเครียดให้เด็กๆ ได้ระดับหนึ่ง  มีของเล่นและขนมแจกให้เด็กๆด้วย. เจ้าหน้าที่พูดจาไพเราะ ยิ้มแย้ม อัธยาศัยดี,"Fast service, good clean place with parking facilities. The restaurant is clean You talk explaining the treatment process easier to understand. The department of children There was paint paper for children to paint. There are toys available kids While waiting for the doctor It stressed children To some degree Has distributed toys and candy to the children as well. Officials eloquence smiling good-natured",5
ทำการตรวจรักษาเร็ว ราคาไม่แพงมาก บริการดี อธิบายขั้นตอนการรักษาต่างๆได้ดีมาก,Please heal faster More affordable services to better explain the various treatment very well.,4
